Date,Gala,x1,x2,x3,x4,y
04/01/2015,2752,3322,2257,2061,2905,4699
11/01/2015,3322,2257,2061,2905,4699,6493
18/01/2015,2257,2061,2905,4699,6493,2122
25/01/2015,2061,2905,4699,6493,2122,3492
01/02/2015,2905,4699,6493,2122,3492,7404
08/02/2015,4699,6493,2122,3492,7404,2982
15/02/2015,6493,2122,3492,7404,2982,7290
22/02/2015,2122,3492,7404,2982,7290,3102
01/03/2015,3492,7404,2982,7290,3102,3790
08/03/2015,7404,2982,7290,3102,3790,7523
15/03/2015,2982,7290,3102,3790,7523,3260
22/03/2015,7290,3102,3790,7523,3260,3402
29/03/2015,3102,3790,7523,3260,3402,4290
05/04/2015,3790,7523,3260,3402,4290,7891
12/04/2015,7523,3260,3402,4290,7891,2920
19/04/2015,3260,3402,4290,7891,2920,3474
26/04/2015,3402,4290,7891,2920,3474,4028
03/05/2015,4290,7891,2920,3474,4028,6656
10/05/2015,7891,2920,3474,4028,6656,3136
17/05/2015,2920,3474,4028,6656,3136,5876
24/05/2015,3474,4028,6656,3136,5876,3975
31/05/2015,4028,6656,3136,5876,3975,8435
07/06/2015,6656,3136,5876,3975,8435,7474
14/06/2015,3136,5876,3975,8435,7474,5565
21/06/2015,5876,3975,8435,7474,5565,5480
28/06/2015,3975,8435,7474,5565,5480,5435
05/07/2015,8435,7474,5565,5480,5435,3931
12/07/2015,7474,5565,5480,5435,3931,6457
19/07/2015,5565,5480,5435,3931,6457,4433
26/07/2015,5480,5435,3931,6457,4433,7923
02/08/2015,5435,3931,6457,4433,7923,7992
09/08/2015,3931,6457,4433,7923,7992,6593
16/08/2015,6457,4433,7923,7992,6593,6640
23/08/2015,4433,7923,7992,6593,6640,3663
30/08/2015,7923,7992,6593,6640,3663,7552
06/09/2015,7992,6593,6640,3663,7552,7604
13/09/2015,6593,6640,3663,7552,7604,6586
20/09/2015,6640,3663,7552,7604,6586,6552
27/09/2015,3663,7552,7604,6586,6552,6428
04/10/2015,7552,7604,6586,6552,6428,6286
11/10/2015,7604,6586,6552,6428,6286,6502
18/10/2015,6586,6552,6428,6286,6502,6663
25/10/2015,6552,6428,6286,6502,6663,6031
01/11/2015,6428,6286,6502,6663,6031,4086
08/11/2015,6286,6502,6663,6031,4086,6458
15/11/2015,6502,6663,6031,4086,6458,7394
22/11/2015,6663,6031,4086,6458,7394,5894
29/11/2015,6031,4086,6458,7394,5894,5432
06/12/2015,4086,6458,7394,5894,5432,9065
13/12/2015,6458,7394,5894,5432,9065,8901
20/12/2015,7394,5894,5432,9065,8901,4714
27/12/2015,5894,5432,9065,8901,4714,8441
03/01/2016,5432,9065,8901,4714,8441,17989
10/01/2016,9065,8901,4714,8441,17989,6617
17/01/2016,8901,4714,8441,17989,6617,4891
24/01/2016,4714,8441,17989,6617,4891,8767
31/01/2016,8441,17989,6617,4891,8767,7307
07/02/2016,17989,6617,4891,8767,7307,6448
14/02/2016,6617,4891,8767,7307,6448,9201
21/02/2016,4891,8767,7307,6448,9201,9114
28/02/2016,8767,7307,6448,9201,9114,6316
06/03/2016,7307,6448,9201,9114,6316,5341
13/03/2016,6448,9201,9114,6316,5341,4730
20/03/2016,9201,9114,6316,5341,4730,591
27/03/2016,9114,6316,5341,4730,591,0
03/04/2016,6316,5341,4730,591,0,7
10/04/2016,5341,4730,591,0,7,16
17/04/2016,4730,591,0,7,16,3
24/04/2016,591,0,7,16,3,7
01/05/2016,0,7,16,3,7,12
08/05/2016,7,16,3,7,12,3
15/05/2016,16,3,7,12,3,2
22/05/2016,3,7,12,3,2,9
29/05/2016,7,12,3,2,9,12
05/06/2016,12,3,2,9,12,3
12/06/2016,3,2,9,12,3,6
19/06/2016,2,9,12,3,6,3
26/06/2016,9,12,3,6,3,3
03/07/2016,12,3,6,3,3,3
10/07/2016,3,6,3,3,3,6569
17/07/2016,6,3,3,3,6569,4695
24/07/2016,3,3,3,6569,4695,5919
31/07/2016,3,3,6569,4695,5919,7067
07/08/2016,3,6569,4695,5919,7067,6412
14/08/2016,6569,4695,5919,7067,6412,6951
21/08/2016,4695,5919,7067,6412,6951,5737
28/08/2016,5919,7067,6412,6951,5737,7083
04/09/2016,7067,6412,6951,5737,7083,6562
11/09/2016,6412,6951,5737,7083,6562,6689
18/09/2016,6951,5737,7083,6562,6689,6919
25/09/2016,5737,7083,6562,6689,6919,7312
02/10/2016,7083,6562,6689,6919,7312,7688
09/10/2016,6562,6689,6919,7312,7688,6079
16/10/2016,6689,6919,7312,7688,6079,7123
23/10/2016,6919,7312,7688,6079,7123,5526
30/10/2016,7312,7688,6079,7123,5526,3772
06/11/2016,7688,6079,7123,5526,3772,4088
13/11/2016,6079,7123,5526,3772,4088,5563
20/11/2016,7123,5526,3772,4088,5563,6681
27/11/2016,5526,3772,4088,5563,6681,11342
04/12/2016,3772,4088,5563,6681,11342,12144
11/12/2016,4088,5563,6681,11342,12144,10057
18/12/2016,5563,6681,11342,12144,10057,8314
25/12/2016,6681,11342,12144,10057,8314,9559
01/01/2017,11342,12144,10057,8314,9559,23346
08/01/2017,12144,10057,8314,9559,23346,9261
15/01/2017,10057,8314,9559,23346,9261,9936
22/01/2017,8314,9559,23346,9261,9936,11563
29/01/2017,9559,23346,9261,9936,11563,12115
05/02/2017,23346,9261,9936,11563,12115,9975
12/02/2017,9261,9936,11563,12115,9975,9034
19/02/2017,9936,11563,12115,9975,9034,8899
26/02/2017,11563,12115,9975,9034,8899,9920
05/03/2017,12115,9975,9034,8899,9920,10281
12/03/2017,9975,9034,8899,9920,10281,9549
19/03/2017,9034,8899,9920,10281,9549,9754
26/03/2017,8899,9920,10281,9549,9754,9317
02/04/2017,9920,10281,9549,9754,9317,9702
09/04/2017,10281,9549,9754,9317,9702,9358
16/04/2017,9549,9754,9317,9702,9358,10331
23/04/2017,9754,9317,9702,9358,10331,10210
30/04/2017,9317,9702,9358,10331,10210,7950
07/05/2017,9702,9358,10331,10210,7950,8103
14/05/2017,9358,10331,10210,7950,8103,8415
21/05/2017,10331,10210,7950,8103,8415,7668
28/05/2017,10210,7950,8103,8415,7668,8607
04/06/2017,7950,8103,8415,7668,8607,7817
11/06/2017,8103,8415,7668,8607,7817,8951
18/06/2017,8415,7668,8607,7817,8951,7062
25/06/2017,7668,8607,7817,8951,7062,7264
02/07/2017,8607,7817,8951,7062,7264,7645
09/07/2017,7817,8951,7062,7264,7645,5544
16/07/2017,8951,7062,7264,7645,5544,7323
23/07/2017,7062,7264,7645,5544,7323,6034
30/07/2017,7264,7645,5544,7323,6034,6523
06/08/2017,7645,5544,7323,6034,6523,6160
13/08/2017,5544,7323,6034,6523,6160,5499
20/08/2017,7323,6034,6523,6160,5499,5659
27/08/2017,6034,6523,6160,5499,5659,5128
03/09/2017,6523,6160,5499,5659,5128,6108
10/09/2017,6160,5499,5659,5128,6108,5020
17/09/2017,5499,5659,5128,6108,5020,4056
24/09/2017,5659,5128,6108,5020,4056,4757
01/10/2017,5128,6108,5020,4056,4757,4629
08/10/2017,6108,5020,4056,4757,4629,4630
15/10/2017,5020,4056,4757,4629,4630,5660
22/10/2017,4056,4757,4629,4630,5660,5116
29/10/2017,4757,4629,4630,5660,5116,7094
05/11/2017,4629,4630,5660,5116,7094,4746
12/11/2017,4630,5660,5116,7094,4746,6656
19/11/2017,5660,5116,7094,4746,6656,4751
26/11/2017,5116,7094,4746,6656,4751,6263
03/12/2017,7094,4746,6656,4751,6263,7511
10/12/2017,4746,6656,4751,6263,7511,8299
17/12/2017,6656,4751,6263,7511,8299,6343
24/12/2017,4751,6263,7511,8299,6343,6962
31/12/2017,6263,7511,8299,6343,6962,22490
07/01/2018,7511,8299,6343,6962,22490,10559
14/01/2018,8299,6343,6962,22490,10559,8576
21/01/2018,6343,6962,22490,10559,8576,11798
28/01/2018,6962,22490,10559,8576,11798,10102
04/02/2018,22490,10559,8576,11798,10102,12281
11/02/2018,10559,8576,11798,10102,12281,7738
18/02/2018,8576,11798,10102,12281,7738,9200
